sample.id,Population,sex,outcome
HG00110,GBR,F,1.21140505577132
HG00116,GBR,M,1.41960762534077
HG00120,GBR,F,0.0119096852334114
HG00128,GBR,F,0.680079178427872
HG00136,GBR,M,-2.31798149529228
HG00137,GBR,F,-1.49588420278322
HG00141,GBR,M,0.390873590883535
HG00145,GBR,M,-0.0910936520843434
HG00234,GBR,M,-0.0773309083942844
HG00244,GBR,M,-0.887631659511837
HG00250,GBR,F,2.63203848324645
HG00262,GBR,F,1.41994909389317
HG00551,PUR,F,0.0195798253528082
HG00740,PUR,F,0.0739020157349014
HG01066,PUR,M,1.10089464391713
HG01101,PUR,M,0.842155730729963
HG01110,PUR,M,-1.36301904119729
HG01182,PUR,M,-0.906878035005327
HG01325,PUR,M,-1.3586813673353
HG01342,CLM,F,1.19299165303426
HG01359,CLM,M,2.24576267800116
HG01366,CLM,F,0.220088591820875
HG01438,CLM,F,-1.52513500480312
HG01492,CLM,F,1.15510845868191
HG01890,ACB,M,0.456605382053264
HG02107,ACB,M,0.408947729773418
HG02143,ACB,M,0.877754842961116
HG02330,ACB,M,0.0420261852898894
HG02429,ACB,M,0.202395547484124
HG02479,ACB,F,0.819589444846528
HG02545,ACB,M,-0.596234824500172
NA10851,CEU,M,-1.05218771281956
NA11893,CEU,M,-1.54244145191908
NA11992,CEU,M,-0.880295426102095
NA12347,CEU,M,1.56466109539702
NA12717,CEU,F,0.189437307964277
NA12761,CEU,F,0.586677989644956
NA12775,CEU,M,-0.791489052327256
NA18488,YRI,F,0.690722762189338
NA18517,YRI,F,0.208669632350603
NA18548,CHB,M,1.39635568018759
NA18552,CHB,F,1.44074030926264
NA18564,CHB,F,2.84943692303187
NA18596,CHB,F,-0.794093179921932
NA18597,CHB,F,0.0396698472221145
NA18602,CHB,F,-1.0375102625554
NA18618,CHB,F,-0.517422036293603
NA18620,CHB,M,-0.975973538145498
NA18625,CHB,F,0.11532737794814
NA18646,CHB,F,-0.177345645915526
NA18907,YRI,F,0.871909830749403
NA18966,JPT,M,0.228960574783957
NA18977,JPT,M,0.731344281369731
NA19004,JPT,M,-0.131142482767269
NA19020,LWK,M,0.0850963980397523
NA19027,LWK,M,0.954844095169516
NA19035,LWK,M,1.33533556598585
NA19042,LWK,F,-0.0397207296344477
NA19043,LWK,M,-0.655606738450871
NA19063,JPT,M,1.76020831420404
NA19076,JPT,M,0.605395705654295
NA19079,JPT,M,1.41998192392393
NA19152,YRI,F,0.0134005385331424
NA19197,YRI,F,-0.778005185522606
NA19198,YRI,M,-0.763110864069088
NA19256,YRI,M,0.289104924520197
NA19317,LWK,M,-1.15881299723352
NA19331,LWK,M,0.416363440301129
NA19334,LWK,M,1.14261127996585
NA19374,LWK,M,-0.0882508777287247
NA19404,LWK,F,-0.789636738394831
NA19455,LWK,M,0.255945374705847
NA19625,ASW,F,-2.19729397750695
NA19652,MXL,M,1.99283535261617
NA19722,MXL,F,0.615666937087871
NA19723,MXL,M,-1.23030730544327
NA19792,MXL,M,-0.816599454514366
NA19904,ASW,M,-0.632201687838774
NA19913,ASW,F,-1.68564108510477
NA20274,ASW,F,-2.34266698810936
NA20287,ASW,F,0.768458184722742
NA20298,ASW,M,0.647646147867108
NA20317,ASW,F,-0.750342963826171
NA20318,ASW,M,1.68885477846658
NA20320,ASW,F,0.961578455561642
NA20321,ASW,F,0.394417962852869
NA20334,ASW,F,-0.283588890509257
NA20355,ASW,F,0.874432370437322
NA20359,ASW,F,-0.958298173550358
NA20362,ASW,M,0.572517634100141
NA20853,GIH,F,-1.31873377590963
NA20876,GIH,F,0.727638999708189
NA20882,GIH,F,0.673860013739462
NA20886,GIH,F,0.693850619003708
NA20891,GIH,M,-0.898713420944189
NA20900,GIH,F,-0.36665239361068
NA21109,GIH,M,-0.754154228288515
NA21128,GIH,M,-1.53080645540902
NA21135,GIH,M,-1.04054616518685
NA21143,GIH,F,-1.83386914726093
